ZIPCODE,WEIGHT
10001,0.003650185
10002,0.010278342
10003,0.009980579
10005,0.001050042
10009,0.01071923
10010,0.004007712
10011,0.006849443
10012,0.005176988
10013,0.003367128
10014,0.006989276
10016,0.006916018
10017,0.001054459
10018,0.001551786
10019,0.006227917
10021,0.00278065
10022,0.003843778
10023,0.007582731
10024,0.008385763
10025,0.009866806
10026,0.003545721
10027,0.005578243
10028,0.002778476
10029,0.00410562
10030,0.001336547
10031,0.004530646
10032,0.003903188
10033,0.005103948
10034,0.002362063
10035,0.001192535
10036,0.003909953
10037,0.000930539
10038,0.001836337
10039,0.001478684
10040,0.003961783
10044,0.000729652
10065,0.004639807
10128,0.006376427
10185,0.001518545
10280,0.001306587
10282,0.000891483
10301,0.003749836
10302,0.000624896
10303,0.003227133
10304,0.001887824
10305,0.00147759
10306,0.003898424
10307,0.001543497
10308,0.001363123
10309,0.002419816
10310,0.002754608
10312,0.004224803
10314,0.005953017
10451,0.00177772
10452,0.002508954
10453,0.003743262
10454,0.000935267
10455,0.000539897
10456,0.003864501
10457,0.002521296
10458,0.004491479
10459,0.001800917
10460,0.003164842
10461,0.002703494
10462,0.006053528
10463,0.007400116
10464,0.000851374
10465,0.008371379
10466,0.005041896
10467,0.005911491
10468,0.001876803
10469,0.005922419
10470,0.002214131
10471,0.004216135
10472,0.003666635
10473,0.004327604
10474,0.00081923
10475,0.000761215
10803,0.002662719
11001,0
11004,0.000634492
11005,0
11101,0.004135663
11102,0.005632483
11103,0.008605114
11104,0.002874552
11105,0.009523014
11106,0.006066112
11201,0.016721367
11202,0.000559502
11203,0.008062256
11204,0.005700208
11205,0.009831976
11206,0.014153145
11207,0.005370912
11208,0.005695448
11209,0.010754174
11210,0.005198113
11211,0.013382909
11212,0.003419255
11213,0.004965219
11214,0.007758937
11215,0.025419489
11216,0.008010663
11217,0.014313684
11218,0.010131223
11219,0.00248098
11220,0.005173286
11221,0.006615991
11222,0.017447516
11223,0.005520184
11224,0.001619662
11225,0.008550188
11226,0.006184024
11228,0.005905044
11229,0.007255083
11230,0.008320687
11231,0.011415061
11232,0.002424124
11233,0.00638343
11234,0.012717724
11235,0.007788614
11236,0.009055779
11237,0.006332725
11238,0.015912104
11239,0.000863149
11249,0.008207609
11354,0.001946904
11355,0.003270821
11356,0.000944222
11357,0.003684346
11358,0.007125002
11360,0.003014073
11361,0.005379202
11362,0.001254567
11363,0.00080782
11364,0.00272133
11365,0.002768293
11366,0.001466523
11367,0.002979581
11368,0.002823614
11369,0.004100164
11370,0.001013222
11372,0.00324917
11373,0.004760283
11374,0.004336548
11375,0.011640882
11377,0.008479
11378,0.004560996
11379,0.006158651
11385,0.009011414
11411,0.005224112
11412,0.00357428
11413,0.002864688
11414,0.002362703
11415,0.002440176
11416,0.00470944
11417,0.001746601
11418,0.002826666
11419,0.002236952
11420,0.003233911
11421,0.00292123
11422,0.002521815
11423,0.003351679
11426,0.000922093
11427,0.001717536
11428,0.00176183
11429,0.003257047
11430,
11432,0.004945106
11433,0.001481782
11434,0.005134281
11435,0.003178495
11436,0.002580983
11691,0.002449986
11692,0.000875284
11693,0.000763111
11694,0.001835319
11697,0.000440661
